date,Year,IND_VOL,Accumulator,LABNO,FIELDNOTES,Temperature,TEMP_F,VWSP,V_WSP_F,WSP,S_WSP_F,WDR,WIND_DIR_F,LWC,LWC_F,PSA,SR,SOLAR_RAD_F,SIG_T,RainCount,RAIN_HR_F,CloudCount
6/12/2014 8:00,2014,149,2393,14C3004,,10.53,,11,,10.9,,221,,0.37,,1356,148,,9,6.06,,39
6/12/2014 9:00,2014,172,2393,14C3004,,10.42,,14,,13.8,,216,,0.54,,2003,109,,10,29.89,,38
6/12/2014 10:00,2014,214,2393,14C3004,,10.76,,15,,15.5,,210,,0.51,,2049,83,,10,46.82,,34
6/12/2014 11:00,2014,357,2393,14C3004,,10.37,,15,,15,,207,,0.7,,2369,82,,10,36.45,,31
6/12/2014 12:00,2014,236,2393,14C3004,,10.22,,16,,16.3,,209,,0.57,,1950,105,,10,44.3,,28
6/12/2014 13:00,2014,295,2393,14C3004,,10.06,,17,,17.1,,211,,0.37,,1340,97,,10,31.92,,44
6/12/2014 14:00,2014,190,2393,14C3004,,10.29,,15,,14.9,,217,,0.44,,1545,47,,12,59.5,,21
6/12/2014 15:00,2014,150,2393,14C3004,,10.72,,15,,15.1,,211,,0.29,,1203,45,,10,51.28,,12
6/12/2014 16:00,2014,76,2393,14C3004,,11.03,,17,,16.7,,207,,0.24,,1078,39,,9,60.45,s,6
6/12/2014 17:00,2014,516,2393,14C3004,,10.88,,18,,18.6,,199,,0.24,,999,32,,7,25.1,,41
6/12/2014 18:00,2014,170,3361,14C3005,,10.79,,16,,16,,210,,0.23,,1053,24,,9,50.55,,19
6/12/2014 19:00,2014,273,3361,14C3005,,11.01,,16,,16.5,,208,,1.1,i,2083,11,,10,31.12,,28
6/12/2014 20:00,2014,241,3361,14C3005,,11.24,,16,,16.1,,211,,1.62,i,2820,4,,10,18.15,,43
6/12/2014 21:00,2014,120,3361,14C3005,,11.44,,15,,15.6,,216,,1.66,i,3125,2,,10,47.74,,23
6/12/2014 22:00,2014,396,3361,14C3005,,11.64,,16,,16.3,,215,,1.66,i,3953,2,,11,35.03,,35
6/12/2014 23:00,2014,398,3361,14C3005,,11.89,,15,,15,,221,,2.17,i,4246,2,,12,29.1,,37
6/13/2014 0:00,2014,260,3361,14C3005,,12.1,,14,,14.6,,218,,2.16,i,4241,2,,13,47.22,,24
6/13/2014 1:00,2014,257,3361,14C3005,,12.2,,18,,17.9,,208,,2.01,i,4085,2,,9,40.19,,38
6/13/2014 2:00,2014,377,3361,14C3005,,12.11,,17,,17.3,,196,,2.18,i,3936,2,,7,25.18,,42
6/13/2014 3:00,2014,274,3361,14C3005,,11.98,,16,,15.7,,193,,2.32,i,3836,2,,8,45.17,,27
6/13/2014 4:00,2014,295,3361,14C3005,,12.03,,15,,14.8,,194,,2.38,i,3663,2,,11,18.57,,46
6/13/2014 5:00,2014,300,3361,14C3005,,12.05,,15,,15.3,,190,,2.34,i,3416,4,,10,28.48,,42
6/13/2014 6:00,2014,538,5362,14C3006,,12.13,,15,,15.1,,189,,2.38,i,3477,13,,10,24.46,,42
6/13/2014 7:00,2014,458,5362,14C3006,,12.05,,15,,14.8,,183,,2.33,i,3269,42,,11,0,s,60
6/13/2014 8:00,2014,274,5362,14C3006,,12.18,,13,,12.9,,171,,2.28,i,3150,89,,13,32.04,,47
6/13/2014 9:00,2014,445,5362,14C3006,,12.08,,11,,11.4,,163,,2.28,i,3172,68,,15,11.05,,49
6/13/2014 10:00,2014,443,5362,14C3006,,11.97,,13,,13.3,,154,,2.34,i,2928,74,,12,22.22,,49
6/13/2014 11:00,2014,444,5362,14C3006,,12.05,,12,,12.3,,172,,2.36,i,2864,86,,14,0,s,60
6/13/2014 12:00,2014,474,5362,14C3006,,11.98,,14,,13.8,,187,,2.28,i,2929,87,,9,0,s,60
6/13/2014 13:00,2014,405,5362,14C3006,,12.14,,13,,12.8,,194,,2.28,i,3072,138,,7,30.65,,39
6/13/2014 14:00,2014,459,5362,14C3006,,12.35,,11,,10.8,,194,,2.27,i,3111,185,,8,23.57,,43
6/13/2014 15:00,2014,477,5362,14C3006,,12.59,,10,,9.7,,204,,2.33,i,3200,239,,9,5,,53
6/13/2014 16:00,2014,315,5362,14C3006,,12.78,,9,,8.6,,210,,2.25,i,3279,138,,9,31.61,,30
6/13/2014 17:00,2014,630,5362,14C3006,,12.99,,8,,7.8,,221,,2.47,i,3425,73,,9,6.64,,59
6/13/2014 18:00,2014,476,3944,14C3007,,13.07,,7,,6.7,,220,,2.53,i,3505,79,,10,14,,47
6/13/2014 19:00,2014,255,3944,14C3007,,13.04,,5,,5.1,,227,,2.48,i,3334,24,,13,21.5,,45
6/13/2014 20:00,2014,568,3944,14C3007,,13.06,,7,,7.1,,222,,2.54,i,3476,4,,9,7.65,,52
6/13/2014 21:00,2014,331,3944,14C3007,,12.32,,6,,6.9,,254,,2.46,i,3327,2,,17,51.01,,21
6/13/2014 22:00,2014,157,3944,14C3007,,11.54,,11,,10.8,,280,,2.37,i,3405,2,,8,45.9,,14
6/13/2014 23:00,2014,399,3944,14C3007,,11.61,,9,,9.3,,264,,2.52,i,4176,2,,10,12,,49
6/14/2014 0:00,2014,308,3944,14C3007,,11.58,,10,,10.4,,261,,2.61,i,4726,2,,10,30,,34
6/14/2014 1:00,2014,404,3944,14C3007,,11.53,,9,,9.3,,257,,2.65,i,4798,2,,16,25.93,,39
6/14/2014 2:00,2014,160,3944,14C3007,,10.8,,11,,11.3,,269,,2.49,i,4083,2,,19,55.66,,10
6/14/2014 3:00,2014,530,3944,14C3007,,8.27,,17,,17.6,,285,,2.59,i,3701,2,,7,30.72,,43
6/14/2014 4:00,2014,318,3944,14C3007,,6.55,,18,,18.1,,287,,2.52,i,3399,2,,7,0,,60
6/14/2014 5:00,2014,88,3944,14C3007,,5.48,,21,,20.7,,275,,2.3,i,3043,3,,6,0,,60
6/14/2014 6:00,2014,153,4213,14C3008,,5.45,,22,,21.7,,269,,2.44,i,3712,58,,5,0,,60
6/14/2014 7:00,2014,42,4213,14C3008,,4.44,,22,,21.6,,263,,2.33,i,3156,342,,5,0,,60
6/14/2014 8:00,2014,135,4213,14C3008,,4.09,,19,,19.2,,258,,2.47,i,4060,377,,5,0,,60
6/14/2014 9:00,2014,302,4213,14C3008,,4.34,,17,,16.7,,256,,2.6,i,4715,477,,5,0,,60
6/14/2014 10:00,2014,198,4213,14C3008,,4.55,,12,,11.8,,256,,2.48,i,3953,514,,14,0,,60
6/14/2014 11:00,2014,151,4213,14C3008,,4.73,,13,,13.2,,256,,2.44,i,3884,468,,11,0,,60
6/14/2014 12:00,2014,77,4213,14C3008,,4.79,,11,,11.4,,261,,2.33,i,3040,502,,10,0,,60
6/14/2014 13:00,2014,47,4213,14C3008,,5,,11,,11.1,,267,,2.31,i,2705,464,,13,0,,60
6/14/2014 14:00,2014,405,4213,14C3008,,4.76,,12,,12,,271,,2.51,i,3532,319,,11,0,,60
6/14/2014 15:00,2014,802,4213,14C3008,,4.86,,11,,11.2,,273,,2.64,i,3780,289,,12,0,,60
6/14/2014 16:00,2014,924,4213,14C3008,,4.67,,15,,14.7,,271,,2.7,i,4044,161,,9,14.15,,47
6/14/2014 17:00,2014,977,4213,14C3008,,4.59,,15,,15.3,,267,,2.66,i,3625,93,,8,0,,60
6/14/2014 18:00,2014,762,2415,14C3009,,4.77,,17,,17.2,,274,,2.71,i,3696,51,,8,21.15,,51
6/14/2014 19:00,2014,984,2415,14C3009,,5.29,,18,,18.1,,295,,2.76,i,3796,20,,5,33.65,,34
6/14/2014 20:00,2014,89,2415,14C3009,,5.62,,13,,12.7,,316,,2.79,i,3815,5,,10,54,,9
6/14/2014 21:00,2014,,2415,14C3009,,5.89,,13,,13.5,,308,,2.79,i,3810,2,,7,60,,0
6/14/2014 22:00,2014,580,2415,14C3009,,5.85,,13,,12.7,,306,,2.75,i,3724,2,,8,33.31,,29
6/14/2014 23:00,2014,,2415,14C3009,,5.44,,10,,9.9,,312,,2.74,i,3609,2,,13,60,,0
6/15/2014 0:00,2014,,2415,14C3009,,5.04,,9,,9.5,,314,,2.75,i,3663,2,,11,60,,0
6/15/2014 1:00,2014,,2415,14C3009,,4.62,,10,,10.1,,323,,2.75,i,3573,2,,11,60,,0
6/15/2014 2:00,2014,,2415,14C3009,,4.42,,11,,10.9,,323,,2.74,i,3511,2,,10,60,,0
6/15/2014 3:00,2014,,2415,14C3009,,4.35,,10,,9.6,,324,,2.73,i,3452,2,,12,60,,0
6/15/2014 4:00,2014,,2415,14C3009,,4.26,,12,,12.1,,317,,2.7,i,3319,2,,8,60,,0
6/15/2014 5:00,2014,,2415,14C3009,,4.18,,11,,11.1,,324,,2.67,i,3243,13,,12,60,,0
6/15/2014 6:00,2014,,2472,14C3010,,4.15,,8,,8.3,,330,,2.66,i,3202,54,,22,60,,0
6/15/2014 7:00,2014,879,2472,14C3010,,4.37,,8,,8.3,,333,,2.7,i,3326,167,,20,23.75,,40
6/15/2014 8:00,2014,621,2472,14C3010,,4.57,,8,,8.4,,324,,2.74,i,3516,260,,18,42.53,,23
6/15/2014 9:00,2014,,2472,14C3010,,4.71,,9,,9.1,,319,,2.63,i,3163,575,,6,60,,0
6/15/2014 10:00,2014,539,2472,14C3010,,5.6,,8,,8.6,,325,,2.52,i,2725,735,,13,14.11,,46
6/15/2014 11:00,2014,177,2472,14C3010,,6.02,,9,,9,,340,,2.4,i,2367,892,,12,0,,60
6/15/2014 12:00,2014,74,2472,14C3010,,7.17,,4,,4.3,,347,,2.31,i,2116,884,,32,0,,57
6/15/2014 13:00,2014,58,2472,14C3010,,7.79,,5,,4.8,,328,,2.31,i,2095,804,,26,0,,56
6/15/2014 14:00,2014,52,2472,14C3010,,9.19,,4,,4.4,,306,,2.3,i,2053,596,,25,0,,57
6/15/2014 15:00,2014,52,2472,14C3010,,10.09,,3,,3.2,,315,,2.31,i,2050,556,,34,0,,53
6/15/2014 16:00,2014,22,2472,14C3010,,10.47,,4,,3.8,,314,,2.32,i,2055,584,,28,0,,59
6/15/2014 17:00,2014,,2472,14C3010,,10.21,,4,,4.6,,317,,2.34,i,2054,357,,23,0,,60
6/16/2014 6:00,2014,182,318,14C3011,,9.81,,2,,2.1,,21,,2.42,i,2089,173,,20,0,,18
6/16/2014 7:00,2014,34,318,14C3011,,11.08,,0,,0.8,,74,,2.41,i,2072,340,,84,0,,4
6/16/2014 8:00,2014,,318,14C3011,,11.95,,0,,0.7,,124,,2.41,i,2047,515,,85,0,,0
6/16/2014 9:00,2014,61,318,14C3011,,12.32,,1,,1,,135,,2.38,i,2031,638,,73,0,,6
6/16/2014 10:00,2014,41,318,14C3011,,13.61,,0,,1,,166,,1.77,i,1344,789,,74,0,,3
6/16/2014 11:00,2014,,318,14C3011,,15.41,,0,,0.7,,208,,1.49,i,880,864,,82,0,,0
6/16/2014 12:00,2014,,318,14C3011,,16.1,,0,,1,,191,,-0.02,i,91,920,,80,0,,0
6/16/2014 13:00,2014,,318,14C3011,,16.7,,1,,1.3,,245,,0.01,,8,798,,61,0,,0
6/16/2014 14:00,2014,,318,14C3011,,17.14,,1,,1.2,,234,,0.02,,9,681,,67,0,,0
6/16/2014 15:00,2014,,318,14C3011,,16.83,,2,,2.3,,247,,0.01,,7,591,,49,0,,0
6/16/2014 16:00,2014,,318,14C3011,,15.42,,3,,3.3,,239,,0.01,,6,291,,30,0,,0
6/16/2014 17:00,2014,,318,14C3011,,15.42,,4,,3.7,,248,,0.01,,6,327,,27,0,,0
6/16/2014 18:00,2014,,586,14C3012,,15.3,,5,,4.9,,248,,0.01,,6,255,,26,0,,0
6/16/2014 19:00,2014,,586,14C3012,,13.84,,5,,5.7,,247,,0.01,,5,60,,23,0,,0
6/16/2014 20:00,2014,,586,14C3012,,12.86,,6,,5.9,,246,,0.01,,5,6,,19,0,,0
6/16/2014 21:00,2014,,586,14C3012,,13.5,,6,,6,,246,,0.01,,5,2,,24,0,,0
6/16/2014 22:00,2014,,586,14C3012,,13.5,,6,,6.2,,250,,0.01,,5,2,,24,0,,0
6/16/2014 23:00,2014,,586,14C3012,,13.31,,6,,6.6,,253,,0.01,,5,2,,24,0,,0
6/17/2014 0:00,2014,,586,14C3012,,13,,7,,7.8,,255,,0.01,,5,2,,23,0,,0
6/17/2014 1:00,2014,,586,14C3012,,12.39,,10,,10.6,,260,,0.02,,15,2,,16,0,,0
6/17/2014 2:00,2014,135,586,14C3012,,12.52,,13,,12.6,,264,,0.2,,1100,2,,9,0,,52
6/17/2014 3:00,2014,105,586,14C3012,,12.78,,12,,11.8,,270,,0.27,,1402,2,,10,0,,60
6/17/2014 4:00,2014,286,586,14C3012,,12.26,,10,,10.1,,276,,0.43,,1722,2,,10,3,,57
6/17/2014 5:00,2014,60,586,14C3012,,11.98,,11,,10.6,,291,,0.1,,276,32,,5,20.18,,2
6/17/2014 6:00,2014,,225,14C3015,,11.9,,8,,7.8,,310,,0.01,,5,157,,7,0,,0
6/17/2014 7:00,2014,,225,14C3015,,11.81,,5,,5.2,,314,,0.01,,5,218,,10,0,,0
6/17/2014 8:00,2014,98,225,14C3015,,11.8,,4,,3.9,,300,,0.12,,354,212,,27,0,,38
6/17/2014 9:00,2014,127,225,14C3015,,13.22,,2,,2.6,,264,,0.04,,89,439,,40,0,,8
6/17/2014 9:00,2014,250,250,14C3013,,13.22,,2,,2.6,,264,,0.04,,89,439,,40,0,,8
6/17/2014 9:00,2014,250,250,14C3014,,13.22,,2,,2.6,,264,,0.04,,89,439,,40,0,,8
6/17/2014 10:00,2014,,225,14C3015,,14.26,,3,,3.6,,252,,0.01,,7,570,,32,0,,0
6/17/2014 11:00,2014,,225,14C3015,,15.42,,3,,3.5,,256,,0.01,,6,721,,38,0,,0
6/17/2014 12:00,2014,,225,14C3015,,16.06,,3,,3.2,,241,,0.01,,6,691,,36,0,,0
6/17/2014 13:00,2014,,225,14C3015,,,i,,i,,i,,i,,i,,,i,,1,i,0
6/17/2014 14:00,2014,,225,14C3015,,18,,3,,3.5,,246,,0.01,,6,777,,39,0,,0
6/17/2014 15:00,2014,,225,14C3015,,18,,3,,3.3,,245,,0.01,,6,584,,35,0,,0
6/17/2014 16:00,2014,,225,14C3015,,17.21,,2,,2.2,,249,,0.01,,6,258,,35,0,,0
6/17/2014 17:00,2014,,225,14C3015,,16.32,,4,,4.6,,214,,0.01,,6,223,,23,0,,0
6/17/2014 18:00,2014,,2224,14C3016,,16.19,,6,,6.7,,186,,0.01,,5,143,,16,0,,0
6/17/2014 19:00,2014,,2224,14C3016,,15.77,,8,,7.8,,225,,0.01,,5,23,,13,0,,0
6/17/2014 20:00,2014,,2224,14C3016,,15.59,,13,,13.2,,194,,0.01,,5,5,,8,0,,0
6/17/2014 21:00,2014,,2224,14C3016,,15.41,,17,,17,,201,,0.02,,11,2,,11,6.62,,0
6/17/2014 22:00,2014,62,2224,14C3016,,14.08,,21,,20.8,,200,,0.1,,714,2,,9,33.22,,16
6/17/2014 23:00,2014,110,2224,14C3016,,13.56,,10,,11.5,,246,,0.69,,3004,2,,28,49.21,,25.86
6/18/2014 0:00,2014,267,2224,14C3016,,13.13,,10,,11.4,,251,,0.85,,2636,2,,31,23.7,,56.56
6/18/2014 1:00,2014,173,2224,14C3016,,12.93,,11,,12.1,,253,,0.71,,2226,2,,31,41.93,,60
6/18/2014 2:00,2014,273,2224,14C3016,,12.93,,11,,12.3,,255,,0.77,,2390,2,,30,33.73,,60
6/18/2014 3:00,2014,474,2224,14C3016,,12.74,,14,,15.4,,257,,0.82,,2468,2,,24,24.99,,60
6/18/2014 4:00,2014,790,2224,14C3016,,12.23,,16,,17,,287,,0.95,,1959,2,,15,9.64,,60
6/18/2014 5:00,2014,75,2224,14C3016,,11.2,,14,,14.5,,305,,1.14,i,2030,5,,9,58.77,,60
6/18/2014 6:00,2014,,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,10.39,,12,,12.6,,315,,1.21,i,2052,46,,10,60,,60
6/18/2014 7:00,2014,,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,9.93,,12,,11.8,,310,,1.22,i,2058,114,,6,60,,60
6/18/2014 8:00,2014,,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,10.12,,9,,9.3,,315,,1.22,i,2047,117,,8,60,,60
6/18/2014 9:00,2014,439,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,10.42,,11,,11.5,,291,,1,,1828,160,,10,38,,60
6/18/2014 10:00,2014,368,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,10.59,,12,,12,,290,,0.99,,1821,202,,11,40.4,,60
6/18/2014 11:00,2014,511,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,10.38,,10,,10.7,,285,,0.82,,1882,188,,16,18.82,,60
6/18/2014 12:00,2014,474,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,10.37,,12,,12.2,,280,,0.78,,2021,215,,15,17.18,,60
6/18/2014 13:00,2014,414,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,10.71,,11,,11.8,,281,,0.72,,1905,205,,17,13.17,,60
6/18/2014 14:00,2014,331,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,10.98,,11,,11.6,,283,,0.51,,1542,229,,17,0,,60
6/18/2014 15:00,2014,75,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,11.38,,11,,11.4,,270,,0.34,,1421,310,,20,12.72,,60
6/18/2014 16:00,2014,,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,11.41,,11,,11.5,,287,,0.02,,57,258,,16,0,,60
6/18/2014 17:00,2014,,2612,14C3017,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,11.67,,12,,11.9,,285,,0.02,,41,221,,15,0,,60
6/18/2014 18:00,2014,,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,11.54,,13,,12.8,,290,,0.01,,5,158,,14,0,,60
6/18/2014 19:00,2014,28,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,11.14,,11,,11.7,,275,,0.18,,866,23,,16,0,,60
6/18/2014 20:00,2014,190,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,11.24,,11,,11.5,,273,,0.54,,1989,4,,19,4.17,,60
6/18/2014 21:00,2014,41,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,11.32,,8,,9,,297,,0.71,,1753,2,,21,55.78,,60
6/18/2014 22:00,2014,14,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,11.06,,6,,6.4,,317,,0.74,,1551,2,,28,59.18,,60
6/18/2014 23:00,2014,356,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,10.55,,6,,6.9,,314,,0.72,,1464,2,,27,31.66,,60
6/19/2014 0:00,2014,,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,9.94,,6,,6.3,,314,,0.54,,1059,2,,24,60,,60
6/19/2014 1:00,2014,314,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,9.4,,10,,10.3,,316,,0.59,,1118,2,,12,37.86,,60
6/19/2014 2:00,2014,238,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,8.62,,12,,11.6,,318,,0.45,,820,2,,5,30.37,,60
6/19/2014 3:00,2014,516,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,8.61,,6,,6.7,,333,,0.79,,1422,2,,21,20.01,,60
6/19/2014 4:00,2014,551,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,8.21,,6,,6.5,,353,,0.64,,1141,2,,22,0,,60
6/19/2014 5:00,2014,200,2448,14C3018,STATUS SWITCH NOT WORKING; NO RINSE BETWEEN SAMPLES,7.46,,6,,5.9,,2,,0.3,,648,15,,24,0,,60
6/23/2014 18:00,2014,,360,14C3019,,15.32,,4,,4.2,,247,,0.02,,6,203,,32,0,,0
6/23/2014 19:00,2014,,360,14C3019,,14.24,,3,,3.8,,240,,0.02,,6,58,,33,0,,0
6/23/2014 20:00,2014,,360,14C3019,,13.51,,5,,4.8,,231,,0.02,,6,17,,22,0,,0
6/23/2014 21:00,2014,,360,14C3019,,12.67,,9,,8.6,,221,,0.02,,5,2,,9,0,,0
6/23/2014 22:00,2014,,360,14C3019,,12.4,,10,,10.4,,221,,0.02,,5,2,,8,0,,0
6/23/2014 23:00,2014,,360,14C3019,,12.46,,9,,8.8,,228,,0.02,,5,2,,11,0,,0
6/24/2014 0:00,2014,,360,14C3019,,12.47,,8,,8.5,,231,,0.02,,6,2,,13,0,,0
6/24/2014 1:00,2014,,360,14C3019,,12.36,,9,,9,,233,,0.02,,6,2,,15,0,,0
6/24/2014 2:00,2014,25,360,14C3019,,12.14,,9,,8.9,,234,,0.13,,662,2,,17,0,,49
6/24/2014 3:00,2014,93,360,14C3019,,12.05,,8,,8.6,,234,,0.2,,1042,2,,19,0,,60
6/24/2014 4:00,2014,139,360,14C3019,,12.05,,9,,9.2,,234,,0.28,,1481,2,,18,3.33,,58
6/24/2014 5:00,2014,103,360,14C3019,,12.04,,8,,8.6,,234,,0.23,,1158,5,,19,6,,55
6/24/2014 6:00,2014,143,4423,14C3020,,11.97,,8,,7.8,,233,,0.28,,1372,14,,18,13.56,,52
6/24/2014 7:00,2014,360,4423,14C3020,,11.88,,9,,8.8,,232,,0.58,,2724,36,,13,15.91,,51
6/24/2014 8:00,2014,532,4423,14C3020,,11.92,,7,,7.1,,233,,0.81,,3173,76,,18,6.64,,60
6/24/2014 9:00,2014,361,4423,14C3020,,12.18,,7,,6.9,,236,,0.91,,3196,83,,21,13,,47
6/24/2014 10:00,2014,551,4423,14C3020,,12.27,,6,,6.8,,242,,0.92,,3246,107,,22,0,,60
6/24/2014 11:00,2014,385,4423,14C3020,,12.44,,7,,7.1,,236,,0.93,,3218,161,,19,16.06,,45
6/24/2014 12:00,2014,449,4423,14C3020,,13,,7,,7.2,,236,,0.75,,2640,366,,20,0,,60
6/24/2014 13:00,2014,264,4423,14C3020,,13.54,,7,,7.1,,233,,0.49,,1777,333,,19,0,,60
6/24/2014 14:00,2014,421,4423,14C3020,,13.76,,8,,7.8,,233,,0.71,,2563,225,,19,0,,60
6/24/2014 15:00,2014,515,4423,14C3020,,13.73,,8,,8.5,,235,,0.79,,3077,197,,20,0,,60
6/24/2014 16:00,2014,289,4423,14C3020,,14.01,,7,,7.4,,236,,0.65,,2705,92,,26,0,,60
6/24/2014 17:00,2014,153,4423,14C3020,,14.3,,7,,7.1,,240,,0.58,,2427,110,,26,0,,60
